Species Number,Alpha Code,Common Name,Scientific Name,T & E
5030,AUOR,Audubon's Oriole,Icterus graduacauda,
5031,ALOR,Altamira Oriole,Icterus gularis,
5032,SPOO,Spot-breasted Oriole,Icterus pectoralis,
5040,SCOR,Scott's Oriole,Icterus parisorum,
5041,BVOR,Black-vented Oriole,Icterus wagleri,
5042,BCOR,Black-cowled Oriole,Icterus prosthemelas,
5043,CUOR,Cuban Oriole,Icterus melanopsis,
5044,BAHO,Bahama Oriole,Icterus northropi,
5045,PROR,Puerto Rican Oriole,Icterus portoricensis,
5046,HIOR,Hispaniolan Oriole,Icterus dominicensis,
5050,HOOR,Hooded Oriole,Icterus cucullatus,
5051,STRO,Streak-backed Oriole,Icterus pustulatus,
5060,OROR,Orchard Oriole,Icterus spurius,
5070,BAOR,Baltimore Oriole,Icterus galbula,
5078,BBOH,Baltimore X Bullock's Oriole Hybrid,,
5080,BUOR,Bullock's Oriole,Icterus bullockii,
5090,RUBL,Rusty Blackbird,Euphagus carolinus,
5100,BRBL,Brewer's Blackbird,Euphagus cyanocephalus,
5110,COGR,Common Grackle,Quiscalus quiscula,
5120,GTGR,Great-tailed Grackle,Quiscalus mexicanus,
5130,BTGR,Boat-tailed Grackle,Quiscalus major,
5131,GAGR,Greater Antillean Grackle,Quiscalus niger,
5140,EVGR,Evening Grosbeak,Coccothraustes vespertinus,
5141,BRAM,Brambling,Fringilla montifringilla,
5142,HAWF,Hawfinch,Coccothraustes coccothraustes,
5143,COCH,Common Chaffinch,Fringilla coelebs,
5150,PIGR,Pine Grosbeak,Pinicola enucleator,
5160,EUBU,Eurasian Bullfinch,Pyrrhula pyrrhula,
5161,CORO,Common Rosefinch,Carpodacus erythrinus,
5170,PUFI,Purple Finch,Haemorhous purpureus,
5180,CAFI,Cassin's Finch,Haemorhous cassinii,
5190,HOFI,House Finch,Haemorhous mexicanus,
5210,RECR,Red Crossbill,Loxia curvirostra,
5211,CACR,Cassia Crossbill,Loxia sinesciuris,
5220,WWCR,White-winged Crossbill,Loxia leucoptera,
5240,GCRF,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,
5250,BLRF,Black Rosy-Finch,Leucosticte atrata,
5260,BCRF,Brown-capped Rosy-Finch,Leucosticte australis,
5261,EUGO,European Goldfinch,Carduelis carduelis,
5262,ORGR,Oriental Greenfinch,Chloris sinica,
5270,HORE,Hoary Redpoll,Acanthis hornemanni,
5276,UNRE,Unidentified Common/Hoary Redpoll,,
5280,CORE,Common Redpoll,Acanthis flammea,
5290,AMGO,American Goldfinch,Spinus tristis,
5300,LEGO,Lesser Goldfinch,Spinus psaltria,
5310,LAGO,Lawrence's Goldfinch,Spinus lawrencei,
5321,RESI,Red Siskin,Spinus cucullatus,
5330,PISI,Pine Siskin,Spinus pinus,
