scientific.name,original_scientific,genus,species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,maximum_longevity_y,weaning_d,incubation_d,fledging_age_d,longevity_y,male_maturity_d
Xolmis irupero,,Xolmis,irupero,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Elseya irwini,,Elseya,irwini,-999,5,-999,21.8,-999,160,-999,21.8,-999
Liolaemus isabelae,,Liolaemus,isabelae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Stiltia isabella,,Stiltia,isabella,-999,1.95,-999,-999,-999,-999,-999,-999,-999
Funisciurus isabella,,Funisciurus,isabella,-999,1.8,-999,-999,-999,-999,-999,-999,-999
Cossypha isabellae,,Cossypha,isabellae,-999,2,-999,-999,-999,-999,-999,-999,-999
Oriolus isabellae,,Oriolus,isabellae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Iodopleura isabellae,,Iodopleura,isabellae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Oenanthe isabellina,,Oenanthe,isabellina,-999,5.5,2,-999,-999,15,-999,-999,-999
Geositta isabellina,,Geositta,isabellina,-999,3,-999,-999,-999,-999,-999,-999,-999
Sylvietta isabellina,,Sylvietta,isabellina,-999,2,-999,-999,-999,-999,-999,-999,-999
Amaurornis isabellina,,Amaurornis,isabellina,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lanius isabellinus,,Lanius,isabellinus,364.234,5.25,1,10.08333333,-999,14,13.5,7.775,365
Diclidurus isabellus,,Diclidurus,isabellus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Rhynchomys isarogensis,,Rhynchomys,isarogensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Thomasomys ischyrus,,Thomasomys,ischyrus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sphenomorphus ishaki,,Sphenomorphus,ishaki,-999,-999,-999,-999,-999,-999,-999,-999,-999
Amphiesma ishigakiense,,Amphiesma,ishigakiense,-999,7,-999,-999,-999,58.5,-999,-999,-999
Lepidothrix isidorei,,Lepidothrix,isidorei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Garritornis isidorei,,Garritornis,isidorei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pomatostomus isidorei,,Pomatostomus,isidorei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Spizaetus isidori,,Spizaetus,isidori,-999,1,-999,-999,-999,-999,-999,-999,-999
Phyllurus isis,,Phyllurus,isis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Luperosaurus iskandari,,Luperosaurus,iskandari,-999,-999,-999,-999,-999,-999,-999,-999,-999
Bucephala islandica,,Bucephala,islandica,728.468,9.5,1,18,-999,30,56,15.33333333,730
Suiriri islerorum,,Suiriri,islerorum,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lygosoma isodactylum,,Lygosoma,isodactylum,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sorex isodon,,Sorex,isodon,-999,7.09,-999,-999,21.87,-999,-999,-999,-999
Emoia isolata,,Emoia,isolata,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ctenophorus isolepis,,Ctenophorus,isolepis,-999,3.35,2,-999,-999,1762,-999,-999,-999
Eremiascincus isolepis,,Eremiascincus,isolepis,-999,4.4,-999,-999,-999,-999,-999,-999,-999
Anolis isolepis,,Anolis,isolepis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Hemidactylus isolepis,,Hemidactylus,isolepis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Chiropotes israelita,,Chiropotes,israelita,1460.464,1,-999,19.6,-999,-999,-999,18,-999
Pelomys isseli,,Pelomys,isseli,-999,-999,-999,-999,-999,-999,-999,-999,-999
Mallomys istapantap,,Mallomys,istapantap,-999,1.07,-999,-999,-999,-999,-999,-999,-999
Anolis isthmicus,,Anolis,isthmicus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Hydrochoeris isthmius,,Hydrochoeris,isthmius,-999,4.99,-999,-999,112,-999,-999,-999,-999
Lophoictinia isura,,Lophoictinia,isura,-999,3,-999,17,-999,-999,-999,17,-999
Passer italiae,,Passer,italiae,363.468,4.7,2.5,23,-999,11.75,15,14.525,365
Tropidurus itambere,,Tropidurus,itambere,-999,4.5,-999,-999,-999,-999,-999,-999,-999
Mustela itatsi,,Mustela,itatsi,-999,6.48,-999,8.833333333,60,-999,-999,8.816666667,-999
Muscicapa itombwensis,,Muscicapa,itombwensis,-999,2,-999,-999,-999,-999,-999,-999,-999
Trioceros ituriensis,,Trioceros,ituriensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Trachylepis ivensii,,Trachylepis,ivensii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Stenocercus ivitus,,Stenocercus,ivitus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pycnopygius ixoides,,Pycnopygius,ixoides,-999,-999,-999,-999,-999,-999,-999,-999,-999
Habromys ixtlani,,Habromys,ixtlani,-999,1.9,-999,-999,-999,-999,-999,-999,-999
Jacana jacana,,Jacana,jacana,-999,4,-999,-999,-999,28,35,-999,-999
Anolis jacare,,Anolis,jacare,-999,-999,-999,-999,-999,-999,-999,-999,-999
Volatinia jacarina,,Volatinia,jacarina,-999,2.25,-999,-999,-999,9.5,9,-999,-999
Callithrix jacchus,,Callithrix,jacchus,477,2.24,2,22.79166667,62,-999,-999,16.25,382
Otomys jacksoni,,Otomys,jacksoni,91.24,1.6,5,-999,-999,-999,-999,-999,-999
Praomys jacksoni,,Praomys,jacksoni,74.2,3.5,4,5.2,25,-999,-999,5.183333333,75
Sorex jacksoni,,Sorex,jacksoni,242.3009,6.5,1.9,2.5,22.827,-999,-999,1.625,-999
Crocidura jacksoni,,Crocidura,jacksoni,-999,3.49,-999,-999,-999,-999,-999,-999,-999
Pternistis jacksoni,,Pternistis,jacksoni,-999,3,-999,-999,-999,-999,-999,-999,-999
Adolfus jacksoni,,Adolfus,jacksoni,-999,3,-999,-999,-999,78.5,-999,-999,-999
Euplectes jacksoni,,Euplectes,jacksoni,-999,2.7,-999,-999,-999,-999,-999,-999,-999
Tockus jacksoni,,Tockus,jacksoni,-999,2.5,-999,-999,-999,25,46,-999,-999
Ploceus jacksoni,,Ploceus,jacksoni,-999,2.45,-999,-999,-999,-999,-999,-999,-999
Apalis jacksoni,,Apalis,jacksoni,-999,2,-999,-999,-999,-999,-999,-999,-999
Cryptospiza jacksoni,,Cryptospiza,jacksoni,-999,2,-999,-999,-999,-999,-999,-999,-999
Bdeogale jacksoni,,Bdeogale,jacksoni,-999,1,-999,15.83333333,-999,-999,-999,15.8,-999
Steatomys jacksoni,,Steatomys,jacksoni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Trioceros jacksonii,,Trioceros,jacksonii,-999,30.85,1.4,8.2,-999,-999,-999,8.2,-999
Thrasops jacksonii,,Thrasops,jacksonii,-999,8,-999,5.8,-999,84.5,-999,5.8,-999
Aparallactus jacksonii,,Aparallactus,jacksonii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Clamator jacobinus,,Clamator,jacobinus,-999,3.5,-999,-999,-999,11.8,16.5,-999,-999
Leopardus jacobitus,,Leopardus,jacobitus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cnemaspis jacobsoni,,Cnemaspis,jacobsoni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Penelope jacquacu,,Penelope,jacquacu,-999,2.5,-999,-999,-999,-999,-999,-999,-999
Pachycephala jacquinoti,,Pachycephala,jacquinoti,-999,1.95,-999,-999,-999,-999,-999,-999,-999
Ninox jacquinoti,,Ninox,jacquinoti,-999,-999,-999,-999,-999,-999,-999,-999,-999
Penelope jacucaca,,Penelope,jacucaca,-999,2.5,-999,-999,-999,-999,-999,-999,-999
Heliodoxa jacula,,Heliodoxa,jacula,-999,2,-999,-999,-999,-999,-999,-999,-999
Jaculus jaculus,,Jaculus,jaculus,326.88264,3.24,1.5,7.3,51,-999,-999,6.741666667,137
Eryx jaculus,,Eryx,jaculus,-999,13,-999,24.7,-999,-999,-999,18.3,-999
Aburria jacutinga,,Aburria,jacutinga,-999,3,-999,-999,-999,28,-999,-999,-999
Pipile jacutinga,,Pipile,jacutinga,-999,3,-999,-999,-999,-999,-999,-999,-999
Erythrolamprus jaegeri,,Erythrolamprus,jaegeri,-999,14,-999,-999,-999,-999,-999,-999,-999
Ptenochirus jagori,,Ptenochirus,jagori,251.71,1,2,8,89.99,-999,-999,8,-999
Pinoyscincus jagori,,Pinoyscincus,jagori,-999,2.5,-999,-999,-999,-999,-999,-999,-999
Phoniscus jagorii,,Phoniscus,jagorii,-999,1,-999,-999,83.7,-999,-999,-999,-999
Enhydris jagorii,,Enhydris,jagorii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Emoia jakati,,Emoia,jakati,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sceloporus jalapae,,Sceloporus,jalapae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Icterus jamacaii,,Icterus,jamacaii,-999,3,-999,-999,-999,-999,-999,-999,-999
Euphonia jamaica,,Euphonia,jamaica,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Artibeus jamaicensis,,Artibeus,jamaicensis,288.37,1,2,19.21666667,15,-999,-999,10.45,365.28
Oxyura jamaicensis,,Oxyura,jamaicensis,365,8,1,13.6,-999,23.5,55.75,13.6,365
Buteo jamaicensis,,Buteo,jamaicensis,730,2.75,1,30.66666667,-999,31,45.25,25.5,730
Nyctibius jamaicensis,,Nyctibius,jamaicensis,-999,1,1,-999,-999,31.5,43.5,-999,-999
Natalus jamaicensis,,Natalus,jamaicensis,-999,1,1,20,50.53,-999,-999,12.415,-999
Laterallus jamaicensis,,Laterallus,jamaicensis,-999,7.2,-999,2.4,-999,-999,-999,2.4,-999
Corvus jamaicensis,,Corvus,jamaicensis,-999,3,-999,-999,-999,-999,-999,-999,-999
Turdus jamaicensis,,Turdus,jamaicensis,-999,2.7,-999,-999,-999,-999,-999,-999,-999
Leptotila jamaicensis,,Leptotila,jamaicensis,-999,2,-999,-999,-999,-999,-999,-999,-999
Leiocephalus jamaicensis,,Leiocephalus,jamaicensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ptilinopus jambu,,Ptilinopus,jambu,-999,1,-999,-999,-999,-999,-999,-999,-999
Tchagra jamesi,,Tchagra,jamesi,-999,2.45,-999,-999,-999,-999,-999,-999,-999
Phoenicoparrus jamesi,,Phoenicoparrus,jamesi,-999,1,-999,-999,-999,-999,-999,-999,-999
Dipodillus jamesi,,Dipodillus,jamesi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Liolaemus jamesi,,Liolaemus,jamesi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Dendroaspis jamesoni,,Dendroaspis,jamesoni,-999,11,1,13.1,-999,75,-999,13.1,-999
Parmoptila jamesoni,,Parmoptila,jamesoni,-999,3.75,-999,-999,-999,-999,-999,-999,-999
Gallinago jamesoni,,Gallinago,jamesoni,-999,2,-999,-999,-999,-999,-999,-999,-999
Platysteira jamesoni,,Platysteira,jamesoni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Emoia jamur,,Emoia,jamur,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aratinga jandaya,,Aratinga,jandaya,-999,3,-999,-999,-999,-999,-999,-999,-999
Bathyergus janetta,,Bathyergus,janetta,-999,3.3,1.5,1.5,27.79,-999,-999,1.5,-999
Hypsiglena jani,,Hypsiglena,jani,-999,5,-999,12.2,-999,52.5,-999,10.75,-999
Emberiza jankowskii,,Emberiza,jankowskii,-999,4.8,-999,-999,-999,-999,-999,-999,-999
Gonyosoma jansenii,,Gonyosoma,jansenii,-999,6.5,-999,-999,-999,125,-999,-999,-999
Columba janthina,,Columba,janthina,-999,-999,-999,-999,-999,-999,-999,-999,-999
Grus japonensis,,Grus,japonensis,1183.569,2,1,40,-999,31.75,95,27.6,1095
Eptesicus japonensis,,Eptesicus,japonensis,-999,1.5,1,20,-999,-999,-999,15.5,-999
Coturnix japonica,,Coturnix,japonica,213.234,10.2,1.25,14.58333333,-999,17,-999,6.791666667,52
Eubalaena japonica,,Eubalaena,japonica,3500.23,1,0.29,67,273.341,-999,-999,67,3286.25
Mauremys japonica,,Mauremys,japonica,-999,6,-999,16.2,-999,70,-999,16.2,-999
Ninox japonica,,Ninox,japonica,-999,3.2,-999,-999,-999,24,-999,-999,-999
Geoemyda japonica,,Geoemyda,japonica,-999,1,-999,-999,-999,90,-999,-999,-999
Bombycilla japonica,,Bombycilla,japonica,-999,-999,-999,-999,-999,-999,-999,-999,-999
Zosterops japonicus,,Zosterops,japonicus,365,3.15,2,5.1,-999,11,-999,5.1,365
Glirulus japonicus,,Glirulus,japonicus,145.02,4,1.5,7,38,-999,-999,6.983333333,-999
Buteo japonicus,,Buteo,japonicus,910.202,3,1,28.8,-999,35,36.75,25.33666667,730
Zalophus japonicus,,Zalophus,japonicus,1643.625,1.1,0.89,35.7,315,-999,-999,30,1826
Gekko japonicus,,Gekko,japonicus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Acontias jappi,,Acontias,jappi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Bothrops jararaca,,Bothrops,jararaca,-999,-999,-999,6.5,-999,-999,-999,6.5,-999
Turdoides jardineii,,Turdoides,jardineii,-999,3.15,-999,-999,-999,-999,-999,-999,-999
Boissonneaua jardini,,Boissonneaua,jardini,-999,2,-999,-999,-999,-999,-999,-999,-999
Glaucidium jardinii,,Glaucidium,jardinii,-999,3,-999,-999,-999,-999,-999,-999,-999
Draco jareckii,,Draco,jareckii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Carlia jarnoldae,,Carlia,jarnoldae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sceloporus jarrovii,,Sceloporus,jarrovii,-999,7.07,1,-999,-999,-999,-999,-999,-999
Cyrtodactylus jarujini,,Cyrtodactylus,jarujini,-999,-999,-999,-999,-999,-999,-999,-999,-999
Boiga jaspidea,,Boiga,jaspidea,-999,-999,-999,-999,-999,-999,-999,-999,-999
Dinopium javanense,,Dinopium,javanense,-999,2.5,-999,10.5,-999,-999,-999,10.5,-999
Mydaus javanensis,,Mydaus,javanensis,-999,2.5,-999,-999,-999,-999,-999,-999,-999
Dendrocygna javanica,,Dendrocygna,javanica,-999,10,1,-999,-999,27,-999,-999,-999
Manis javanica,,Manis,javanica,755.15,1,1,6.075,-999,-999,-999,6.075,-999
Arborophila javanica,,Arborophila,javanica,-999,4,-999,-999,-999,-999,-999,-999,-999
Tupaia javanica,,Tupaia,javanica,-999,2.95,-999,-999,-999,-999,-999,-999,-999
Mirafra javanica,,Mirafra,javanica,-999,2.8,-999,-999,-999,-999,-999,-999,-999
Rhipidura javanica,,Rhipidura,javanica,-999,2,-999,-999,-999,-999,-999,-999,-999
Hystrix javanica,,Hystrix,javanica,-999,1.455,-999,27.3,-999,-999,-999,27.275,-999
Nycteris javanica,,Nycteris,javanica,-999,1,-999,-999,-999,-999,-999,-999,-999
Herpestes javanicus,,Herpestes,javanicus,301,2.21,2,16.6,50,-999,-999,13.275,122
Acrochordus javanicus,,Acrochordus,javanicus,-999,27,1,5.8,-999,-999,-999,5.8,-999
Bos javanicus,,Bos,javanicus,753.66772,1.22,1,27.1,296.571,-999,-999,27.03333333,-999
Acridotheres javanicus,,Acridotheres,javanicus,-999,4.2,-999,-999,-999,-999,-999,-999,-999
Leptoptilos javanicus,,Leptoptilos,javanicus,-999,3,-999,39,-999,29,-999,31.1,-999
Eurylaimus javanicus,,Eurylaimus,javanicus,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Pipistrellus javanicus,,Pipistrellus,javanicus,-999,2.29,-999,2.908333333,-999,-999,-999,2.908333333,-999
Tragulus javanicus,,Tragulus,javanicus,158.2672,1,-999,14,84,-999,-999,12,167
Zanclostomus javanicus,,Zanclostomus,javanicus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Glischropus javanus,,Glischropus,javanus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Coracina javensis,,Coracina,javensis,-999,2.4,2,-999,-999,21.5,22.5,-999,-999
Dryocopus javensis,,Dryocopus,javensis,-999,2.8,-999,-999,-999,-999,-999,-999,-999
Megalaima javensis,,Megalaima,javensis,-999,2,-999,-999,-999,-999,-999,-999,-999
Batrachostomus javensis,,Batrachostomus,javensis,-999,1.4,-999,-999,-999,-999,-999,-999,-999
Omanosaura jayakari,,Omanosaura,jayakari,-999,6,-999,-999,-999,84.5,-999,-999,-999
Hemitragus jayakari,,Hemitragus,jayakari,-999,1,-999,15.55,-999,-999,-999,14,-999
Trapelus jayakari,,Trapelus,jayakari,-999,-999,-999,-999,-999,-999,-999,-999,-999
Strophurus jeanae,,Strophurus,jeanae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pithecophaga jefferyi,,Pithecophaga,jefferyi,1825,1,0.5,41,-999,61.5,105,41,2555
Cissa jefferyi,,Cissa,jefferyi,-999,3,-999,-999,-999,-999,-999,-999,-999
Aethopyga jefferyi,,Aethopyga,jefferyi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cyrtodactylus jellesmae,,Cyrtodactylus,jellesmae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Iridosornis jelskii,,Iridosornis,jelskii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ochthoeca jelskii,,Ochthoeca,jelskii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Silvicultrix jelskii,,Silvicultrix,jelskii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Abrothrix jelskii,,Abrothrix,jelskii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Hemitragus jemlahicus,,Hemitragus,jemlahicus,638.732,1.005,1,21.8,151.13346,-999,-999,21.8,730
Crocidura jenkinsi,,Crocidura,jenkinsi,-999,3,-999,-999,-999,-999,-999,-999,-999
Cephalophus jentinki,,Cephalophus,jentinki,-999,1,-999,21.29166667,-999,-999,-999,21,-999
Sundasciurus jentinki,,Sundasciurus,jentinki,-999,-999,-999,-999,-999,-999,-999,-999,-999
Saxicola jerdoni,,Saxicola,jerdoni,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Paradoxurus jerdoni,,Paradoxurus,jerdoni,-999,3,-999,12,-999,-999,-999,11.7375,-999
Aviceda jerdoni,,Aviceda,jerdoni,-999,2.7,-999,-999,-999,-999,-999,-999,-999
Chloropsis jerdoni,,Chloropsis,jerdoni,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Calotes jerdoni,,Calotes,jerdoni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ophisops jerdonii,,Ophisops,jerdonii,-999,4.5,-999,-999,-999,-999,-999,-999,-999
Hydrophis jerdonii,,Hydrophis,jerdonii,-999,3,-999,-999,-999,-999,-999,-999,-999
Cnemaspis jerdonii,,Cnemaspis,jerdonii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Geckoella jeyporensis,,Geckoella,jeyporensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lialis jicari,,Lialis,jicari,-999,-999,-999,-999,-999,-999,-999,-999,-999
Techmarscincus jigurru,,Techmarscincus,jigurru,-999,4,-999,-999,-999,-999,-999,-999,-999
Ctenotus joanae,,Ctenotus,joanae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Chaerephon jobensis,,Chaerephon,jobensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Talegalla jobiensis,,Talegalla,jobiensis,-999,20,-999,-999,-999,-999,-999,-999,-999
Varanus jobiensis,,Varanus,jobiensis,578,5.7,-999,17.4,-999,177,-999,17.4,522
Rattus jobiensis,,Rattus,jobiensis,107.18942,3.475,-999,-999,25.26188,-999,-999,-999,-999
Gallicolumba jobiensis,,Gallicolumba,jobiensis,-999,2,-999,-999,-999,-999,-999,-999,-999
Manucodia jobiensis,,Manucodia,jobiensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sphenomorphus jobiensis,,Sphenomorphus,jobiensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pycnonotus jocosus,,Pycnonotus,jocosus,-999,2.5,2,11.16666667,-999,12.5,13,11.1,-999
Campylorhynchus jocosus,,Campylorhynchus,jocosus,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Hypsugo joffrei,,Hypsugo,joffrei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Doryfera johannae,,Doryfera,johannae,-999,2,-999,-999,-999,-999,-999,-999,-999
Cinnyris johannae,,Cinnyris,johannae,-999,1.4,-999,-999,-999,-999,-999,-999,-999
Amphiglossus johannae,,Amphiglossus,johannae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Acomys johannis,,Acomys,johannis,58,2.47,3.5,7.483333333,14,-999,-999,5,59
Linaria johannis,,Linaria,johannis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ctenomys johannis,,Ctenomys,johannis,-999,-999,-999,0.25,-999,-999,-999,0.25,-999
Pachycephala johni,,Pachycephala,johni,-999,2.45,-999,-999,-999,-999,-999,-999,-999
Eryx johnii,,Eryx,johnii,-999,7,-999,24.4,-999,-999,-999,19.5,-999
Trachypithecus johnii,,Trachypithecus,johnii,-999,1,-999,34.6,-999,-999,-999,34.3,-999
Anolis johnmeyeri,,Anolis,johnmeyeri,-999,-999,-999,-999,-999,-999,-999,-999,-999
Crocodylus johnsoni,,Crocodylus,johnsoni,4565.625,12.70014347,1,20,-999,84,-999,20,6209.25
Pseudocolaptes johnsoni,,Pseudocolaptes,johnsoni,-999,1,-999,-999,-999,-999,-999,-999,-999
Pseudomys johnsoni,,Pseudomys,johnsoni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Typhlacontias johnsonii,,Typhlacontias,johnsonii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Carlia johnstonei,,Carlia,johnstonei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Graphiurus johnstoni,,Graphiurus,johnstoni,-999,3,2,6.9,-999,-999,-999,5.8,-999
Okapia johnstoni,,Okapia,johnstoni,726.20296,1,0.8,33.5,194,-999,-999,33,790
Trioceros johnstoni,,Trioceros,johnstoni,-999,15,-999,-999,-999,120,-999,-999,-999
Nectarinia johnstoni,,Nectarinia,johnstoni,-999,1.2,-999,-999,-999,-999,-999,-999,-999
Musophaga johnstoni,,Musophaga,johnstoni,-999,1,-999,-999,-999,-999,-999,-999,-999
Ruwenzorornis johnstoni,,Ruwenzorornis,johnstoni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Genetta johnstoni,,Genetta,johnstoni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sylvisorex johnstoni,,Sylvisorex,johnstoni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Eumecia johnstoni,,Eumecia,johnstoni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Trichoglossus johnstoniae,,Trichoglossus,johnstoniae,-999,2,-999,17.8,-999,-999,-999,17.8,-999
Tarsiger johnstoniae,,Tarsiger,johnstoniae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Trichosurus johnstonii,,Trichosurus,johnstonii,367.955,1.01,1.5,15.9,197.795,-999,-999,14.7,730
Latastia johnstonii,,Latastia,johnstonii,-999,-999,-999,-999,-999,-999,-999,-999,-999
Phyllodactylus johnwrighti,,Phyllodactylus,johnwrighti,-999,-999,-999,-999,-999,-999,-999,-999,-999
Chaerephon johorensis,,Chaerephon,johorensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Geokichla joiceyi,,Geokichla,joiceyi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Luperosaurus joloensis,,Luperosaurus,joloensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Hipposideros jonesi,,Hipposideros,jonesi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cordylus jonesii,,Cordylus,jonesii,-999,-999,-999,15.6,-999,-999,-999,9.55,-999
Aprosmictus jonquillaceus,,Aprosmictus,jonquillaceus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Karusasaurus jordani,,Karusasaurus,jordani,-999,-999,-999,9.1,-999,-999,-999,9.1,-999
Charmosyna josefinae,,Charmosyna,josefinae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Oxymycterus josei,,Oxymycterus,josei,99.25172,2.765,2.6,3.075,14.12246,-999,-999,2.6,-999
Liolaemus josei,,Liolaemus,josei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Hemitriccus josephinae,,Hemitriccus,josephinae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Euspondylus josyi,,Euspondylus,josyi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Caprimulgus jotaka,,Caprimulgus,jotaka,-999,2,-999,-999,-999,17,-999,-999,-999
Crocidura jouvenetae,,Crocidura,jouvenetae,-999,3,-999,-999,-999,-999,-999,-999,-999
Oligodon joynsoni,,Oligodon,joynsoni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Anolis juangundlachi,,Anolis,juangundlachi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Liolaemus juanortizi,,Liolaemus,juanortizi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Mesaspis juarezi,,Mesaspis,juarezi,-999,3,1,-999,-999,-999,-999,-999,-999
Anolis jubar,,Anolis,jubar,-999,1,-999,-999,-999,-999,-999,-999,-999
Chenonetta jubata,,Chenonetta,jubata,-999,9.7,1,-999,-999,28,-999,-999,-999
Neochen jubata,,Neochen,jubata,-999,8,1,-999,-999,29,-999,-999,-999
Bronchocela jubata,,Bronchocela,jubata,-999,-999,-999,-999,-999,-999,-999,-999,-999
Eumetopias jubatus,,Eumetopias,jubatus,1803.125,1,1,32.8,351,-999,-999,30,2420
Acerodon jubatus,,Acerodon,jubatus,-999,1,1,-999,-999,-999,-999,-999,-999
Acinonyx jubatus,,Acinonyx,jubatus,598.985,3.04,0.7,20.5,107,-999,-999,19,456
Rhynochetos jubatus,,Rhynochetos,jubatus,726.936,1,-999,-999,-999,35,-999,-999,-999
Hemidactylus jubensis,,Hemidactylus,jubensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pipreola jucunda,,Pipreola,jucunda,-999,2,-999,-999,-999,17,25,-999,-999
Falco jugger,,Falco,jugger,-999,3.75,-999,-999,-999,30.5,-999,-999,-999
Cinnyris jugularis,,Cinnyris,jugularis,-999,2.2,2,9,-999,-999,-999,9,-999
Dolichophis jugularis,,Dolichophis,jugularis,-999,9,-999,-999,-999,-999,-999,-999,-999
Brotogeris jugularis,,Brotogeris,jugularis,-999,5.3,-999,-999,-999,-999,-999,-999,-999
Myzomela jugularis,,Myzomela,jugularis,-999,2,-999,-999,-999,-999,-999,-999,-999
Eulampis jugularis,,Eulampis,jugularis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Meiglyptes jugularis,,Meiglyptes,jugularis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Mormopterus jugularis,,Mormopterus,jugularis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Neodon juldaschi,,Neodon,juldaschi,-999,3.525,4.14,-999,-999,-999,-999,-999,-999
Neamblysomus julianae,,Neamblysomus,julianae,-999,0.96,-999,-999,-999,-999,-999,-999,-999
Damophila julie,,Damophila,julie,-999,2,-999,-999,-999,-999,-999,-999,-999
Phyllodactylus julieni,,Phyllodactylus,julieni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cisticola juncidis,,Cisticola,juncidis,-999,3.7,2.5,-999,-999,10,-999,-999,-999
Marmosops juninensis,,Marmosops,juninensis,-999,4.05,-999,-999,-999,-999,-999,-999,-999
Muscisaxicola juninensis,,Muscisaxicola,juninensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Akodon juninensis,,Akodon,juninensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
