scientific.name,original_scientific,genus,species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,maximum_longevity_y,weaning_d,incubation_d,fledging_age_d,longevity_y,male_maturity_d
Scincella capitanea,,Scincella,capitanea,-999,-999,-999,-999,-999,-999,-999,-999,-999
Paroaria capitata,,Paroaria,capitata,-999,-999,-999,-999,-999,-999,-999,-999,-999
Tregellasia capito,,Tregellasia,capito,-999,2,-999,-999,-999,-999,-999,-999,-999
Anolis capito,,Anolis,capito,-999,-999,-999,-999,-999,-999,-999,-999,-999
Plestiodon capito,,Plestiodon,capito,-999,-999,-999,-999,-999,-999,-999,-999,-999
Otus capnodes,,Otus,capnodes,-999,4.75,-999,-999,-999,-999,-999,-999,-999
Apathya cappadocica,,Apathya,cappadocica,-999,5,-999,-999,-999,-999,-999,-999,-999
Acanthosaura capra,,Acanthosaura,capra,-999,-999,-999,-999,-999,-999,-999,-999,-999
Saxicola caprata,,Saxicola,caprata,-999,3.7,2,-999,-999,14,14,-999,-999
Capreolus capreolus,,Capreolus,capreolus,413,1.785,1.05,17.5,89,-999,-999,17.23333333,655
Pelea capreolus,,Pelea,capreolus,-999,1,-999,12.33333333,-999,-999,-999,12.31916667,-999
Ctenotus capricorni,,Ctenotus,capricorni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Phyllotis caprinus,,Phyllotis,caprinus,56.79,4.02,-999,3.991666667,-999,-999,-999,3.991666667,-999
Chrysococcyx caprius,,Chrysococcyx,caprius,-999,-999,-999,-999,-999,11.5,21,-999,-999
Cebus capucinus,,Cebus,capucinus,1505,1,0.5,55,521,-999,-999,54,2921
Lycodon capucinus,,Lycodon,capucinus,-999,7.5,-999,-999,-999,-999,-999,-999,-999
Odontophorus capueira,,Odontophorus,capueira,-999,5,-999,-999,-999,-999,-999,-999,-999
Calumma capuroni,,Calumma,capuroni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Anolis caquetae,,Anolis,caquetae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Scytalopus caracae,,Scytalopus,caracae,-999,2,-999,-999,-999,-999,-999,-999,-999
Caracal caracal,,Caracal,caracal,456,3,1.1,20.3,122,-999,-999,18,456
Vampyrodes caraccioli,,Vampyrodes,caraccioli,-999,0.98,2,-999,-999,-999,-999,-999,-999
Oryzomys caracolus,,Oryzomys,caracolus,-999,3.4,-999,-999,-999,-999,-999,-999,-999
Pachydactylus caraculicus,,Pachydactylus,caraculicus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Alouatta caraya,,Alouatta,caraya,1215.19918,1,1,32.4,195.19956,-999,-999,26.32916667,928
Ramphocelus carbo,,Ramphocelus,carbo,-999,2,2,9,-999,12,12,9,-999
Phalacrocorax carbo,,Phalacrocorax,carbo,1460,3.75,1,27.16666667,-999,29,50,21.625,1460
Cepphus carbo,,Cepphus,carbo,-999,2,1,-999,-999,-999,-999,-999,-999
Cercomacra carbonaria,,Cercomacra,carbonaria,-999,-999,-999,-999,-999,-999,-999,-999,-999
Diglossa carbonaria,,Diglossa,carbonaria,-999,-999,-999,-999,-999,-999,-999,-999,-999
Chelonoidis carbonarius,,Chelonoidis,carbonarius,1826.25,5.709832134,3.499790004,49,-999,150.5,-999,49,1826.25
Phrygilus carbonarius,,Phrygilus,carbonarius,-999,-999,-999,-999,-999,-999,-999,-999,-999
Podarcis carbonelli,,Podarcis,carbonelli,-999,4.2,2,3,-999,-999,-999,2.9,-999
Lobodon carcinophaga,,Lobodon,carcinophaga,1461,1,0.945,39,28,-999,-999,37.5,1461
Cardinalis cardinalis,,Cardinalis,cardinalis,364.234,3.12,2.5,28.5,-999,12.5,14.25,15.8,365
Myzomela cardinalis,,Myzomela,cardinalis,-999,3.9,-999,-999,-999,-999,-999,-999,-999
Quelea cardinalis,,Quelea,cardinalis,-999,2.7,-999,-999,-999,-999,-999,-999,-999
Chalcopsitta cardinalis,,Chalcopsitta,cardinalis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Turdus cardis,,Turdus,cardis,-999,4,-999,-999,-999,-999,-999,-999,-999
Carduelis carduelis,,Carduelis,carduelis,365,4.9,2.5,27,-999,13,13.5,14.08333333,365
Caretta caretta,,Caretta,caretta,3650,115,1.285,76,-999,57,-999,37,3650
Fulica caribaea,,Fulica,caribaea,-999,5.3,-999,-999,-999,-999,-999,-999,-999
Patagioenas caribaea,,Patagioenas,caribaea,-999,-999,-999,-999,-999,-999,-999,-999,-999
Contopus caribaeus,,Contopus,caribaeus,-999,2.8,-999,-999,-999,-999,-999,-999,-999
Vireo caribaeus,,Vireo,caribaeus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pterodroma caribbaea,,Pterodroma,caribbaea,-999,-999,-999,-999,-999,-999,-999,-999,-999
Bothrops caribbaeus,,Bothrops,caribbaeus,-999,-999,-999,14.4,-999,-999,-999,13.7,-999
Hylomyscus carillus,,Hylomyscus,carillus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Eutropis carinata,,Eutropis,carinata,-999,6.25,2,-999,-999,-999,-999,-999,-999
Cyclura carinata,,Cyclura,carinata,2374.06,4.3,1,19.96666667,-999,101,-999,19.96666667,2556.68
Morelia carinata,,Morelia,carinata,-999,12,-999,-999,-999,-999,-999,-999,-999
Candoia carinata,,Candoia,carinata,-999,6,-999,16.6,-999,-999,-999,16.6,-999
Elaphe carinata,,Elaphe,carinata,-999,4,-999,-999,-999,53,-999,-999,-999
Ptyas carinata,,Ptyas,carinata,-999,-999,-999,-999,-999,-999,-999,-999,-999
Latastia carinata,,Latastia,carinata,-999,-999,-999,-999,-999,-999,-999,-999,-999
Electron carinatum,,Electron,carinatum,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lygosoma carinatum,,Lygosoma,carinatum,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sternotherus carinatus,,Sternotherus,carinatus,2191.44,4.2,2.5,29.3,-999,109,-999,21.4,2191.44
Echis carinatus,,Echis,carinatus,-999,14,-999,23.8,-999,41,-999,17.8,-999
Tropidechis carinatus,,Tropidechis,carinatus,-999,12,-999,-999,-999,-999,-999,-999,-999
Leiocephalus carinatus,,Leiocephalus,carinatus,-999,8,-999,10.8,-999,62.5,-999,10.8,-999
Chironius carinatus,,Chironius,carinatus,-999,7.5,-999,5.4,-999,-999,-999,5.4,-999
Lycodon carinatus,,Lycodon,carinatus,-999,4,-999,-999,-999,-999,-999,-999,-999
Pareas carinatus,,Pareas,carinatus,-999,4,-999,-999,-999,62,-999,-999,-999
Philothamnus carinatus,,Philothamnus,carinatus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pachydactylus carinatus,,Pachydactylus,carinatus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sceloporus carinatus,,Sceloporus,carinatus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Steatornis caripensis,,Steatornis,caripensis,-999,2.9,1,-999,-999,33.5,108,-999,-999
Mesoplodon carlhubbsi,,Mesoplodon,carlhubbsi,-999,1,-999,-999,-999,-999,-999,-999,-999
Anolis carlostoddi,,Anolis,carlostoddi,-999,-999,-999,-999,-999,-999,-999,-999,-999
Spalax carmeli,,Spalax,carmeli,-999,3.24,1,15.46666667,51.697,-999,-999,15,-999
Phalanger carmelitae,,Phalanger,carmelitae,-999,1.01,-999,2.491666667,-999,-999,-999,2.491666667,-999
Chlorothraupis carmioli,,Chlorothraupis,carmioli,-999,2,-999,-999,-999,-999,-999,-999,-999
Vireo carmioli,,Vireo,carmioli,-999,2,-999,-999,-999,-999,-999,-999,-999
Puffinus carneipes,,Puffinus,carneipes,-999,1,1,30.2,-999,-999,92,30.2,-999
Phoenicircus carnifex,,Phoenicircus,carnifex,-999,-999,-999,-999,-999,-999,-999,-999,-999
Mycerobas carnipes,,Mycerobas,carnipes,363.468,3,-999,-999,-999,15.5,20,-999,-999
Ducula carola,,Ducula,carola,-999,1,-999,-999,-999,-999,-999,-999,-999
Parotia carolae,,Parotia,carolae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Mus caroli,,Mus,caroli,53.355,5.805,4.57,6,21.91392,-999,-999,4,42
Anthoscopus caroli,,Anthoscopus,caroli,-999,4.65,-999,-999,-999,-999,-999,-999,-999
Campethera caroli,,Campethera,caroli,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Polyonymus caroli,,Polyonymus,caroli,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pseudochirulus caroli,,Pseudochirulus,caroli,-999,-999,-999,-999,-999,-999,-999,-999,-999
Porzana carolina,,Porzana,carolina,-999,11,1,-999,-999,18,36,-999,-999
Terrapene carolina,,Terrapene,carolina,2556.68,4,1,138,-999,55,-999,50,2190
Syconycteris carolinae,,Syconycteris,carolinae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Anolis carolinensis,,Anolis,carolinensis,258.74,1.3,6,10,-999,45,-999,7,258.74
