Binomial,scientific.name,original.scientific,TrophicLevel,TrophicNiche,ForagingNiche
Centropus_cupreicaudus,Centropus cupreicaudus,,Carnivore,Omnivore,NA
Centropus_goliath,Centropus goliath,,Carnivore,Invertivore,Generalist
Centropus_grillii,Centropus grillii,,Carnivore,Invertivore,Invertivore ground
Centropus_leucogaster,Centropus leucogaster,,Carnivore,Invertivore,Invertivore ground
Centropus_melanops,Centropus melanops,,Carnivore,Invertivore,Invertivore ground
Centropus_menbeki,Centropus menbeki,,Carnivore,Vertivore,Vertivore ground
Centropus_milo,Centropus milo,,Carnivore,Invertivore,Invertivore ground
Centropus_monachus,Centropus monachus,,Carnivore,Omnivore,NA
Centropus_nigrorufus,Centropus nigrorufus,,Carnivore,Omnivore,NA
Centropus_phasianinus,Centropus phasianinus,,Carnivore,Invertivore,Invertivore ground
Centropus_rectunguis,Centropus rectunguis,,Carnivore,Invertivore,Invertivore ground
Centropus_senegalensis,Centropus senegalensis,,Carnivore,Vertivore,Vertivore ground
Centropus_sinensis,Centropus sinensis,,Carnivore,Vertivore,Vertivore ground
Centropus_spilopterus,Centropus spilopterus,,Carnivore,Invertivore,Invertivore ground
Centropus_steerii,Centropus steerii,,Carnivore,Invertivore,Invertivore ground
Centropus_superciliosus,Centropus superciliosus,,Carnivore,Invertivore,Invertivore ground
Centropus_toulou,Centropus toulou,,Carnivore,Omnivore,NA
Centropus_unirufus,Centropus unirufus,,Carnivore,Invertivore,Invertivore ground
Centropus_violaceus,Centropus violaceus,,Carnivore,Invertivore,Invertivore ground
Centropus_viridis,Centropus viridis,,Carnivore,Invertivore,Invertivore ground
Cephalopterus_glabricollis,Cephalopterus glabricollis,,Omnivore,Frugivore,Generalist
Cephalopterus_ornatus,Cephalopterus ornatus,,Omnivore,Omnivore,NA
Cephalopterus_penduliger,Cephalopterus penduliger,,Herbivore,Frugivore,Generalist
Cephalopyrus_flammiceps,Cephalopyrus flammiceps,,Omnivore,Invertivore,Invertivore glean arboreal
Cepphus_carbo,Cepphus carbo,,Carnivore,Aquatic predator,Aquatic dive
Cepphus_columba,Cepphus columba,,Carnivore,Aquatic predator,Aquatic dive
Cepphus_grylle,Cepphus grylle,,Carnivore,Aquatic predator,Aquatic dive
Ceratogymna_atrata,Ceratogymna atrata,,Herbivore,Frugivore,Fugivore glean
Ceratogymna_elata,Ceratogymna elata,,Herbivore,Frugivore,Fugivore glean
Cercibis_oxycerca,Cercibis oxycerca,,Carnivore,Aquatic predator,Aquatic ground
Cercococcyx_mechowi,Cercococcyx mechowi,,Carnivore,Invertivore,Invertivore glean arboreal
Cercococcyx_montanus,Cercococcyx montanus,,Carnivore,Invertivore,Invertivore glean arboreal
Cercococcyx_olivinus,Cercococcyx olivinus,,Carnivore,Invertivore,Invertivore glean arboreal
