Binomial,scientific.name,original.scientific,TrophicLevel,TrophicNiche,ForagingNiche
Gymnomystax_mexicanus,Gymnomystax mexicanus,,Omnivore,Omnivore,NA
Gymnomyza_aubryana,Gymnomyza aubryana,,Omnivore,Omnivore,NA
Gymnomyza_samoensis,Gymnomyza samoensis,,Herbivore,Omnivore,NA
Gymnomyza_viridis,Gymnomyza viridis,,Omnivore,Omnivore,NA
Gymnophaps_albertisii,Gymnophaps albertisii,,Herbivore,Frugivore,Fugivore glean
Gymnophaps_mada,Gymnophaps mada,,Herbivore,Frugivore,Fugivore glean
Gymnophaps_solomonensis,Gymnophaps solomonensis,,Herbivore,Frugivore,Fugivore glean
Gymnopithys_leucaspis,Gymnopithys leucaspis,,Carnivore,Invertivore,Invertivore sally ground
Gymnopithys_lunulatus,Gymnopithys lunulatus,,Carnivore,Invertivore,Generalist
Gymnopithys_rufigula,Gymnopithys rufigula,,Carnivore,Invertivore,Invertivore sally ground
Gymnopithys_salvini,Gymnopithys salvini,,Carnivore,Invertivore,Invertivore sally ground
Gymnorhina_tibicen,Gymnorhina tibicen,,Carnivore,Invertivore,Invertivore ground
Gymnorhinus_cyanocephalus,Gymnorhinus cyanocephalus,,Omnivore,Omnivore,NA
Gypaetus_barbatus,Gypaetus barbatus,,Scavenger,Scavenger,Scavenger ground
Gypohierax_angolensis,Gypohierax angolensis,,Herbivore,Frugivore,Fugivore glean
Gyps_africanus,Gyps africanus,,Scavenger,Scavenger,Scavenger ground
Gyps_bengalensis,Gyps bengalensis,,Scavenger,Scavenger,Scavenger ground
Gyps_coprotheres,Gyps coprotheres,,Scavenger,Scavenger,Scavenger ground
Gyps_fulvus,Gyps fulvus,,Scavenger,Scavenger,Scavenger ground
Gyps_himalayensis,Gyps himalayensis,,Scavenger,Scavenger,Scavenger ground
Gyps_indicus,Gyps indicus,,Scavenger,Scavenger,Scavenger ground
Gyps_rueppellii,Gyps rueppellii,,Scavenger,Scavenger,Scavenger ground
Gyps_tenuirostris,Gyps tenuirostris,,Scavenger,Scavenger,Scavenger ground
Gypsophila_crispifrons,Gypsophila crispifrons,,Omnivore,Invertivore,Invertivore ground
Habia_atrimaxillaris,Habia atrimaxillaris,,Carnivore,Invertivore,Invertivore glean arboreal
Habia_cristata,Habia cristata,,Carnivore,Invertivore,Invertivore glean arboreal
Habia_fuscicauda,Habia fuscicauda,,Carnivore,Invertivore,Invertivore glean arboreal
Habia_gutturalis,Habia gutturalis,,Carnivore,Invertivore,Invertivore glean arboreal
Habia_rubica,Habia rubica,,Carnivore,Invertivore,Invertivore glean arboreal
Habroptila_wallacii,Habroptila wallacii,,Omnivore,Omnivore,NA
Haematoderus_militaris,Haematoderus militaris,,Carnivore,Invertivore,Invertivore glean arboreal
Haematopus_ater,Haematopus ater,,Carnivore,Aquatic predator,Aquatic ground
Haematopus_bachmani,Haematopus bachmani,,Carnivore,Aquatic predator,Aquatic ground
Haematopus_chathamensis,Haematopus chathamensis,,Carnivore,Aquatic predator,Aquatic ground
Haematopus_finschi,Haematopus finschi,,Carnivore,Aquatic predator,Aquatic ground
Haematopus_fuliginosus,Haematopus fuliginosus,,Carnivore,Aquatic predator,Aquatic ground
Haematopus_leucopodus,Haematopus leucopodus,,Carnivore,Aquatic predator,Aquatic ground
Haematopus_longirostris,Haematopus longirostris,,Carnivore,Aquatic predator,Aquatic ground
Haematopus_moquini,Haematopus moquini,,Carnivore,Aquatic predator,Aquatic ground
Haematopus_ostralegus,Haematopus ostralegus,,Carnivore,Aquatic predator,Aquatic ground
Haematopus_palliatus,Haematopus palliatus,,Carnivore,Aquatic predator,Aquatic ground
Haematopus_unicolor,Haematopus unicolor,,Carnivore,Aquatic predator,Aquatic ground
Haematortyx_sanguiniceps,Haematortyx sanguiniceps,,Omnivore,Omnivore,NA
Haematospiza_sipahi,Haematospiza sipahi,,Herbivore,Omnivore,NA
Halcyon_albiventris,Halcyon albiventris,,Carnivore,Invertivore,Invertivore sally ground
Halcyon_badia,Halcyon badia,,Carnivore,Invertivore,Invertivore sally ground
Halcyon_chelicuti,Halcyon chelicuti,,Carnivore,Invertivore,Invertivore sally ground
Halcyon_coromanda,Halcyon coromanda,,Carnivore,Omnivore,NA
Halcyon_cyanoventris,Halcyon cyanoventris,,Carnivore,Invertivore,Invertivore sally ground
Halcyon_leucocephala,Halcyon leucocephala,,Carnivore,Invertivore,Invertivore sally ground
Halcyon_malimbica,Halcyon malimbica,,Carnivore,Invertivore,Invertivore sally ground
Halcyon_pileata,Halcyon pileata,,Carnivore,Invertivore,Invertivore sally ground
Halcyon_senegalensis,Halcyon senegalensis,,Carnivore,Invertivore,Invertivore sally ground
Halcyon_senegaloides,Halcyon senegaloides,,Carnivore,Aquatic predator,Aquatic perch
Halcyon_smyrnensis,Halcyon smyrnensis,,Carnivore,Omnivore,NA
Haliaeetus_albicilla,Haliaeetus albicilla,,Carnivore,Aquatic predator,Aquatic aerial
Haliaeetus_leucocephalus,Haliaeetus leucocephalus,,Carnivore,Omnivore,NA
Haliaeetus_leucogaster,Haliaeetus leucogaster,,Carnivore,Aquatic predator,Aquatic aerial
Haliaeetus_leucoryphus,Haliaeetus leucoryphus,,Carnivore,Aquatic predator,Aquatic aerial
Haliaeetus_pelagicus,Haliaeetus pelagicus,,Carnivore,Aquatic predator,Aquatic perch
Haliaeetus_sanfordi,Haliaeetus sanfordi,,Carnivore,Omnivore,NA
Haliaeetus_vocifer,Haliaeetus vocifer,,Carnivore,Aquatic predator,Aquatic perch
Haliaeetus_vociferoides,Haliaeetus vociferoides,,Carnivore,Aquatic predator,Aquatic perch
Haliastur_indus,Haliastur indus,,Carnivore,Omnivore,NA
Haliastur_sphenurus,Haliastur sphenurus,,Carnivore,Omnivore,NA
Halobaena_caerulea,Halobaena caerulea,,Carnivore,Aquatic predator,Generalist
Halocyptena_microsoma,Halocyptena microsoma,,Carnivore,Aquatic predator,Aquatic aerial
Hamirostra_melanosternon,Hamirostra melanosternon,,Carnivore,Vertivore,Vertivore air to surface
Hapalopsittaca_amazonina,Hapalopsittaca amazonina,,Herbivore,Omnivore,NA
Hapalopsittaca_fuertesi,Hapalopsittaca fuertesi,,Herbivore,Frugivore,Fugivore glean
Hapalopsittaca_melanotis,Hapalopsittaca melanotis,,Herbivore,Frugivore,Fugivore glean
Hapalopsittaca_pyrrhops,Hapalopsittaca pyrrhops,,Herbivore,Omnivore,NA
Hapaloptila_castanea,Hapaloptila castanea,,Carnivore,Invertivore,Invertivore sally surface
Haplochelidon_andecola,Haplochelidon andecola,,Carnivore,Invertivore,Invertivore aerial
Haplophaedia_assimilis,Haplophaedia assimilis,,Herbivore,Nectarivore,Nectarivore aerial
Haplophaedia_aureliae,Haplophaedia aureliae,,Herbivore,Nectarivore,Nectarivore aerial
Haplophaedia_lugens,Haplophaedia lugens,,Herbivore,Nectarivore,Nectarivore aerial
Haplospiza_rustica,Haplospiza rustica,,Herbivore,Granivore,Granivore arboreal
Haplospiza_unicolor,Haplospiza unicolor,,Herbivore,Granivore,Granivore arboreal
Harpactes_ardens,Harpactes ardens,,Carnivore,Invertivore,Invertivore sally surface
Harpactes_diardii,Harpactes diardii,,Carnivore,Invertivore,Invertivore sally surface
Harpactes_duvaucelii,Harpactes duvaucelii,,Carnivore,Invertivore,Invertivore sally surface
Harpactes_erythrocephalus,Harpactes erythrocephalus,,Carnivore,Invertivore,Invertivore sally surface
Harpactes_fasciatus,Harpactes fasciatus,,Carnivore,Invertivore,Invertivore sally surface
Harpactes_kasumba,Harpactes kasumba,,Carnivore,Invertivore,Invertivore sally surface
Harpactes_oreskios,Harpactes oreskios,,Carnivore,Invertivore,Invertivore sally surface
Harpactes_orrhophaeus,Harpactes orrhophaeus,,Carnivore,Invertivore,Invertivore sally surface
Harpactes_wardi,Harpactes wardi,,Carnivore,Invertivore,Invertivore sally surface
Harpactes_whiteheadi,Harpactes whiteheadi,,Carnivore,Invertivore,Invertivore sally surface
Harpagus_bidentatus,Harpagus bidentatus,,Carnivore,Invertivore,Invertivore sally surface
Harpagus_diodon,Harpagus diodon,,Carnivore,Invertivore,Invertivore sally surface
Harpia_harpyja,Harpia harpyja,,Carnivore,Vertivore,Vertivore perch
Harpyhaliaetus_coronatus,Harpyhaliaetus coronatus,,Carnivore,Vertivore,Vertivore perch
Harpyhaliaetus_solitarius,Harpyhaliaetus solitarius,,Carnivore,Vertivore,Vertivore perch
Harpyopsis_novaeguineae,Harpyopsis novaeguineae,,Carnivore,Vertivore,Vertivore perch
Heinrichia_calligyna,Heinrichia calligyna,,Carnivore,Invertivore,Invertivore ground
Heleia_crassirostris,Heleia crassirostris,,Omnivore,Omnivore,NA
Heleia_muelleri,Heleia muelleri,,Omnivore,Invertivore,Invertivore glean arboreal
Heliactin_bilophus,Heliactin bilophus,,Herbivore,Nectarivore,Nectarivore aerial
Heliangelus_amethysticollis,Heliangelus amethysticollis,,Herbivore,Nectarivore,Nectarivore aerial
Heliangelus_exortis,Heliangelus exortis,,Herbivore,Nectarivore,Nectarivore glean
Heliangelus_mavors,Heliangelus mavors,,Herbivore,Nectarivore,Nectarivore aerial
Heliangelus_micraster,Heliangelus micraster,,Herbivore,Nectarivore,Nectarivore aerial
Heliangelus_regalis,Heliangelus regalis,,Herbivore,Nectarivore,Nectarivore aerial
Heliangelus_strophianus,Heliangelus strophianus,,Herbivore,Nectarivore,Nectarivore aerial
Heliangelus_viola,Heliangelus viola,,Herbivore,Nectarivore,Nectarivore aerial
Helicolestes_hamatus,Helicolestes hamatus,,Carnivore,Invertivore,Invertivore sally ground
Heliobletus_contaminatus,Heliobletus contaminatus,,Carnivore,Invertivore,Invertivore glean arboreal
Heliodoxa_aurescens,Heliodoxa aurescens,,Herbivore,Nectarivore,Nectarivore aerial
Heliodoxa_branickii,Heliodoxa branickii,,Herbivore,Nectarivore,Nectarivore aerial
Heliodoxa_gularis,Heliodoxa gularis,,Herbivore,Nectarivore,Nectarivore aerial
Heliodoxa_imperatrix,Heliodoxa imperatrix,,Herbivore,Nectarivore,Nectarivore glean
Heliodoxa_jacula,Heliodoxa jacula,,Herbivore,Nectarivore,Nectarivore aerial
Heliodoxa_leadbeateri,Heliodoxa leadbeateri,,Herbivore,Nectarivore,Nectarivore aerial
Heliodoxa_rubinoides,Heliodoxa rubinoides,,Herbivore,Nectarivore,Nectarivore aerial
Heliodoxa_schreibersii,Heliodoxa schreibersii,,Herbivore,Nectarivore,Nectarivore aerial
Heliodoxa_xanthogonys,Heliodoxa xanthogonys,,Herbivore,Nectarivore,Nectarivore aerial
Heliolais_erythropterus,Heliolais erythropterus,,Carnivore,Invertivore,Invertivore glean arboreal
Heliomaster_constantii,Heliomaster constantii,,Herbivore,Nectarivore,Nectarivore aerial
Heliomaster_furcifer,Heliomaster furcifer,,Herbivore,Nectarivore,Nectarivore aerial
Heliomaster_longirostris,Heliomaster longirostris,,Herbivore,Nectarivore,Nectarivore aerial
Heliomaster_squamosus,Heliomaster squamosus,,Herbivore,Nectarivore,Nectarivore aerial
Heliopais_personatus,Heliopais personatus,,Carnivore,Aquatic predator,Aquatic surface
Heliornis_fulica,Heliornis fulica,,Carnivore,Aquatic predator,Aquatic surface
Heliothryx_auritus,Heliothryx auritus,,Herbivore,Nectarivore,Nectarivore aerial
Heliothryx_barroti,Heliothryx barroti,,Herbivore,Nectarivore,Nectarivore aerial
Hellmayrea_gularis,Hellmayrea gularis,,Carnivore,Invertivore,Invertivore glean arboreal
Helmitheros_vermivorum,Helmitheros vermivorum,,Carnivore,Invertivore,Invertivore glean arboreal
Hemicircus_canente,Hemicircus canente,,Carnivore,Invertivore,Invertivore glean arboreal
Hemicircus_concretus,Hemicircus concretus,,Carnivore,Invertivore,Invertivore glean arboreal
Hemignathus_flavus,Hemignathus flavus,,Herbivore,Omnivore,NA
Hemignathus_kauaiensis,Hemignathus kauaiensis,,Omnivore,Omnivore,NA
Hemignathus_lucidus,Hemignathus lucidus,,Carnivore,Invertivore,Invertivore bark
Hemignathus_munroi,Hemignathus munroi,,Carnivore,Invertivore,Generalist
Hemignathus_parvus,Hemignathus parvus,,Omnivore,Omnivore,NA
Hemignathus_virens,Hemignathus virens,,Carnivore,Invertivore,Invertivore glean arboreal
Hemiphaga_novaeseelandiae,Hemiphaga novaeseelandiae,,Herbivore,Frugivore,Fugivore glean
Hemiprocne_comata,Hemiprocne comata,,Carnivore,Invertivore,Invertivore sally air
Hemiprocne_coronata,Hemiprocne coronata,,Carnivore,Invertivore,Invertivore aerial
Hemiprocne_longipennis,Hemiprocne longipennis,,Carnivore,Invertivore,Invertivore aerial
Hemiprocne_mystacea,Hemiprocne mystacea,,Carnivore,Invertivore,Invertivore aerial
Hemipus_hirundinaceus,Hemipus hirundinaceus,,Carnivore,Invertivore,Invertivore sally surface
Hemipus_picatus,Hemipus picatus,,Carnivore,Invertivore,Invertivore sally air
Hemispingus_atropileus,Hemispingus atropileus,,Carnivore,Invertivore,Invertivore glean arboreal
Hemispingus_auricularis,Hemispingus auricularis,,Carnivore,Invertivore,Invertivore glean arboreal
Hemispingus_calophrys,Hemispingus calophrys,,Carnivore,Invertivore,Invertivore glean arboreal
Hemispingus_frontalis,Hemispingus frontalis,,Carnivore,Invertivore,Invertivore glean arboreal
Hemispingus_goeringi,Hemispingus goeringi,,Carnivore,Invertivore,Invertivore glean arboreal
Hemispingus_melanotis,Hemispingus melanotis,,Carnivore,Invertivore,Invertivore glean arboreal
Hemispingus_ochraceus,Hemispingus ochraceus,,Omnivore,Omnivore,NA
Hemispingus_parodii,Hemispingus parodii,,Carnivore,Invertivore,Invertivore glean arboreal
Hemispingus_piurae,Hemispingus piurae,,Omnivore,Invertivore,Invertivore glean arboreal
Hemispingus_reyi,Hemispingus reyi,,Carnivore,Invertivore,Invertivore glean arboreal
Hemispingus_rufosuperciliaris,Hemispingus rufosuperciliaris,,Carnivore,Invertivore,Invertivore glean arboreal
Hemispingus_superciliaris,Hemispingus superciliaris,,Carnivore,Invertivore,Invertivore glean arboreal
Hemispingus_trifasciatus,Hemispingus trifasciatus,,Carnivore,Invertivore,Invertivore glean arboreal
Hemispingus_verticalis,Hemispingus verticalis,,Carnivore,Invertivore,Invertivore glean arboreal
Hemispingus_xanthophthalmus,Hemispingus xanthophthalmus,,Carnivore,Invertivore,Invertivore glean arboreal
Hemitesia_neumanni,Hemitesia neumanni,,Carnivore,Invertivore,Invertivore ground
Hemithraupis_flavicollis,Hemithraupis flavicollis,,Omnivore,Invertivore,Invertivore glean arboreal
Hemithraupis_guira,Hemithraupis guira,,Carnivore,Invertivore,Invertivore glean arboreal
Hemithraupis_ruficapilla,Hemithraupis ruficapilla,,Carnivore,Invertivore,Invertivore glean arboreal
Hemitriccus_cinnamomeipectus,Hemitriccus cinnamomeipectus,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_diops,Hemitriccus diops,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_flammulatus,Hemitriccus flammulatus,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_furcatus,Hemitriccus furcatus,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_granadensis,Hemitriccus granadensis,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_griseipectus,Hemitriccus griseipectus,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_inornatus,Hemitriccus inornatus,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_iohannis,Hemitriccus iohannis,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_josephinae,Hemitriccus josephinae,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_kaempferi,Hemitriccus kaempferi,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_margaritaceiventer,Hemitriccus margaritaceiventer,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_minimus,Hemitriccus minimus,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_minor,Hemitriccus minor,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_mirandae,Hemitriccus mirandae,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_nidipendulus,Hemitriccus nidipendulus,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_obsoletus,Hemitriccus obsoletus,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_orbitatus,Hemitriccus orbitatus,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_rufigularis,Hemitriccus rufigularis,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_spodiops,Hemitriccus spodiops,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_striaticollis,Hemitriccus striaticollis,,Carnivore,Invertivore,Invertivore sally surface
Hemitriccus_zosterops,Hemitriccus zosterops,,Carnivore,Invertivore,Invertivore sally surface
Hemixos_castanonotus,Hemixos castanonotus,,Omnivore,Frugivore,Fugivore glean
Hemixos_flavala,Hemixos flavala,,Omnivore,Omnivore,NA
Henicopernis_infuscatus,Henicopernis infuscatus,,Carnivore,Invertivore,Invertivore sally surface
Henicopernis_longicauda,Henicopernis longicauda,,Carnivore,Invertivore,Invertivore sally surface
Henicophaps_albifrons,Henicophaps albifrons,,Omnivore,Omnivore,NA
Henicophaps_foersteri,Henicophaps foersteri,,Omnivore,Omnivore,NA
Henicorhina_leucophrys,Henicorhina leucophrys,,Carnivore,Invertivore,Invertivore glean arboreal
Henicorhina_leucoptera,Henicorhina leucoptera,,Carnivore,Invertivore,Invertivore glean arboreal
Henicorhina_leucosticta,Henicorhina leucosticta,,Carnivore,Invertivore,Invertivore glean arboreal
Henicorhina_negreti,Henicorhina negreti,,Carnivore,Invertivore,Invertivore glean arboreal
Herpetotheres_cachinnans,Herpetotheres cachinnans,,Carnivore,Vertivore,Vertivore perch
Herpsilochmus_atricapillus,Herpsilochmus atricapillus,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_axillaris,Herpsilochmus axillaris,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_dorsimaculatus,Herpsilochmus dorsimaculatus,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_dugandi,Herpsilochmus dugandi,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_gentryi,Herpsilochmus gentryi,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_longirostris,Herpsilochmus longirostris,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_motacilloides,Herpsilochmus motacilloides,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_parkeri,Herpsilochmus parkeri,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_pectoralis,Herpsilochmus pectoralis,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_pileatus,Herpsilochmus pileatus,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_roraimae,Herpsilochmus roraimae,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_rufimarginatus,Herpsilochmus rufimarginatus,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_sellowi,Herpsilochmus sellowi,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_stictocephalus,Herpsilochmus stictocephalus,,Carnivore,Invertivore,Invertivore glean arboreal
Herpsilochmus_sticturus,Herpsilochmus sticturus,,Carnivore,Invertivore,Invertivore glean arboreal
Heterocercus_aurantiivertex,Heterocercus aurantiivertex,,Herbivore,Frugivore,Fugivore aerial
Heterocercus_flavivertex,Heterocercus flavivertex,,Omnivore,Omnivore,NA
Heterocercus_linteatus,Heterocercus linteatus,,Omnivore,Frugivore,Fugivore aerial
Heteroglaux_blewitti,Heteroglaux blewitti,,Carnivore,Vertivore,Vertivore perch
Heteromirafra_archeri,Heteromirafra archeri,,Omnivore,Omnivore,NA
Heteromirafra_ruddi,Heteromirafra ruddi,,Omnivore,Omnivore,NA
Heteromirafra_sidamoensis,Heteromirafra sidamoensis,,Omnivore,Omnivore,NA
Heteromunia_pectoralis,Heteromunia pectoralis,,Herbivore,Granivore,Granivore ground
Heteromyias_albispecularis,Heteromyias albispecularis,,Carnivore,Invertivore,Generalist
Heteronetta_atricapilla,Heteronetta atricapilla,,Herbivore,Herbivore aquatic,Herbivore aquatic surface
Heterophasia_annectens,Heterophasia annectens,,Carnivore,Invertivore,Invertivore glean arboreal
Heterophasia_auricularis,Heterophasia auricularis,,Herbivore,Omnivore,NA
Heterophasia_capistrata,Heterophasia capistrata,,Herbivore,Omnivore,NA
Heterophasia_desgodinsi,Heterophasia desgodinsi,,Omnivore,Invertivore,Invertivore glean arboreal
Heterophasia_gracilis,Heterophasia gracilis,,Carnivore,Invertivore,Invertivore glean arboreal
Heterophasia_melanoleuca,Heterophasia melanoleuca,,Herbivore,Omnivore,NA
Heterophasia_picaoides,Heterophasia picaoides,,Herbivore,Omnivore,NA
Heterophasia_pulchella,Heterophasia pulchella,,Omnivore,Invertivore,Invertivore glean arboreal
Heteroscelus_brevipes,Heteroscelus brevipes,,Carnivore,Aquatic predator,Aquatic ground
Heteroscelus_incanus,Heteroscelus incanus,,Carnivore,Aquatic predator,Aquatic ground
Heterospingus_rubrifrons,Heterospingus rubrifrons,,Omnivore,Frugivore,Fugivore glean
Heterospingus_xanthopygius,Heterospingus xanthopygius,,Omnivore,Omnivore,NA
Hieraaetus_ayresii,Hieraaetus ayresii,,Carnivore,Vertivore,Vertivore aerial
Hieraaetus_morphnoides,Hieraaetus morphnoides,,Carnivore,Vertivore,Vertivore air to surface
Hieraaetus_pennatus,Hieraaetus pennatus,,Carnivore,Vertivore,Generalist
Hieraaetus_spilogaster,Hieraaetus spilogaster,,Carnivore,Vertivore,Generalist
Hieraaetus_weiskei,Hieraaetus weiskei,,Carnivore,Vertivore,Generalist
Himantopus_himantopus,Himantopus himantopus,,Carnivore,Aquatic predator,Aquatic ground
Himantopus_leucocephalus,Himantopus leucocephalus,,Carnivore,Aquatic predator,Aquatic ground
Himantopus_mexicanus,Himantopus mexicanus,,Carnivore,Aquatic predator,Aquatic ground
Himantopus_novaezelandiae,Himantopus novaezelandiae,,Carnivore,Aquatic predator,Aquatic ground
Himantornis_haematopus,Himantornis haematopus,,Carnivore,Omnivore,NA
Himatione_sanguinea,Himatione sanguinea,,Herbivore,Nectarivore,Nectarivore glean
Hippolais_caligata,Hippolais caligata,,Carnivore,Invertivore,Invertivore glean arboreal
Hippolais_icterina,Hippolais icterina,,Carnivore,Invertivore,Invertivore glean arboreal
Hippolais_languida,Hippolais languida,,Carnivore,Invertivore,Invertivore glean arboreal
Hippolais_olivetorum,Hippolais olivetorum,,Carnivore,Invertivore,Invertivore glean arboreal
Hippolais_opaca,Hippolais opaca,,Carnivore,Invertivore,Invertivore glean arboreal
Hippolais_pallida,Hippolais pallida,,Carnivore,Invertivore,Invertivore glean arboreal
Hippolais_polyglotta,Hippolais polyglotta,,Carnivore,Invertivore,Invertivore glean arboreal
Hippolais_rama,Hippolais rama,,Carnivore,Invertivore,Invertivore glean arboreal
Hirundapus_caudacutus,Hirundapus caudacutus,,Carnivore,Invertivore,Invertivore aerial
Hirundapus_celebensis,Hirundapus celebensis,,Carnivore,Invertivore,Invertivore aerial
Hirundapus_cochinchinensis,Hirundapus cochinchinensis,,Carnivore,Invertivore,Invertivore aerial
Hirundapus_giganteus,Hirundapus giganteus,,Carnivore,Invertivore,Invertivore aerial
Hirundinea_ferruginea,Hirundinea ferruginea,,Carnivore,Invertivore,Invertivore sally air
Hirundo_abyssinica,Hirundo abyssinica,,Carnivore,Invertivore,Invertivore aerial
Hirundo_aethiopica,Hirundo aethiopica,,Carnivore,Invertivore,Invertivore aerial
Hirundo_albigularis,Hirundo albigularis,,Carnivore,Invertivore,Invertivore aerial
Hirundo_angolensis,Hirundo angolensis,,Carnivore,Invertivore,Invertivore aerial
Hirundo_ariel,Hirundo ariel,,Carnivore,Invertivore,Invertivore aerial
Hirundo_atrocaerulea,Hirundo atrocaerulea,,Carnivore,Invertivore,Invertivore aerial
Hirundo_concolor,Hirundo concolor,,Carnivore,Invertivore,Invertivore aerial
Hirundo_cucullata,Hirundo cucullata,,Carnivore,Invertivore,Invertivore aerial
Hirundo_daurica,Hirundo daurica,,Carnivore,Invertivore,Invertivore aerial
Hirundo_dimidiata,Hirundo dimidiata,,Carnivore,Invertivore,Invertivore aerial
Hirundo_domicola,Hirundo domicola,,Carnivore,Invertivore,Invertivore aerial
Hirundo_fluvicola,Hirundo fluvicola,,Carnivore,Invertivore,Invertivore aerial
Hirundo_fuliginosa,Hirundo fuliginosa,,Carnivore,Invertivore,Invertivore aerial
Hirundo_fuligula,Hirundo fuligula,,Carnivore,Invertivore,Invertivore aerial
Hirundo_leucosoma,Hirundo leucosoma,,Carnivore,Invertivore,Invertivore aerial
Hirundo_lucida,Hirundo lucida,,Carnivore,Invertivore,Invertivore aerial
Hirundo_megaensis,Hirundo megaensis,,Carnivore,Invertivore,Invertivore aerial
Hirundo_neoxena,Hirundo neoxena,,Carnivore,Invertivore,Invertivore aerial
Hirundo_nigricans,Hirundo nigricans,,Carnivore,Invertivore,Invertivore aerial
Hirundo_nigrita,Hirundo nigrita,,Carnivore,Invertivore,Invertivore aerial
Hirundo_nigrorufa,Hirundo nigrorufa,,Carnivore,Invertivore,Invertivore aerial
Hirundo_obsoleta,Hirundo obsoleta,,Carnivore,Invertivore,Invertivore aerial
Hirundo_perdita,Hirundo perdita,,Carnivore,Invertivore,Invertivore aerial
Hirundo_preussi,Hirundo preussi,,Carnivore,Invertivore,Invertivore aerial
Hirundo_rufigula,Hirundo rufigula,,Carnivore,Invertivore,Invertivore aerial
Hirundo_rupestris,Hirundo rupestris,,Carnivore,Invertivore,Invertivore aerial
Hirundo_rustica,Hirundo rustica,,Carnivore,Invertivore,Invertivore aerial
Hirundo_semirufa,Hirundo semirufa,,Carnivore,Invertivore,Invertivore aerial
Hirundo_senegalensis,Hirundo senegalensis,,Carnivore,Invertivore,Invertivore aerial
Hirundo_smithii,Hirundo smithii,,Carnivore,Invertivore,Invertivore aerial
Hirundo_spilodera,Hirundo spilodera,,Carnivore,Invertivore,Invertivore aerial
Hirundo_striolata,Hirundo striolata,,Carnivore,Invertivore,Invertivore aerial
Hirundo_tahitica,Hirundo tahitica,,Carnivore,Invertivore,Invertivore aerial
Histrionicus_histrionicus,Histrionicus histrionicus,,Carnivore,Aquatic predator,Aquatic dive
Histurgops_ruficaudus,Histurgops ruficaudus,,Omnivore,Omnivore,NA
Hodgsonius_phaenicuroides,Hodgsonius phaenicuroides,,Omnivore,Invertivore,Invertivore ground
Horizorhinus_dohrni,Horizorhinus dohrni,,Omnivore,Invertivore,Generalist
Houbaropsis_bengalensis,Houbaropsis bengalensis,,Omnivore,Omnivore,NA
Humblotia_flavirostris,Humblotia flavirostris,,Carnivore,Invertivore,Invertivore sally air
Hydrobates_pelagicus,Hydrobates pelagicus,,Carnivore,Aquatic predator,Aquatic aerial
Hydrochous_gigas,Hydrochous gigas,,Carnivore,Invertivore,Invertivore aerial
Hydrophasianus_chirurgus,Hydrophasianus chirurgus,,Omnivore,Aquatic predator,Aquatic ground
Hydropsalis_climacocerca,Hydropsalis climacocerca,,Carnivore,Invertivore,Generalist
Hydropsalis_torquata,Hydropsalis torquata,,Carnivore,Invertivore,Generalist
Hylacola_cauta,Hylacola cauta,,Carnivore,Invertivore,Invertivore ground
Hylacola_pyrrhopygia,Hylacola pyrrhopygia,,Carnivore,Invertivore,Invertivore ground
Hylexetastes_brigidai,Hylexetastes brigidai,,Carnivore,Invertivore,Invertivore bark
Hylexetastes_perrotii,Hylexetastes perrotii,,Carnivore,Invertivore,Invertivore bark
Hylexetastes_stresemanni,Hylexetastes stresemanni,,Carnivore,Invertivore,Invertivore bark
