species,sci_name,popest,popestlci,popestuci,first_year_popest,last_year_popest,migrate,Breeding.Biome,Winter.Biome
Lesser Nighthawk,Chordeiles acutipennis,3801395,2399615,5545863,2006,2015,M,Aridlands,Widespread Neotropical
Lesser Scaup,Aythya affinis,2626619,1903177,3511659,2006,2015,M,Wetland,Widespread
Lesser Yellowlegs,Tringa flavipes,660000,264000,1650000,2011,2013,M,Wetland,Widespread
Lewis's Woodpecker,Melanerpes lewis,81507,52913,119611,2006,2015,M,Western Forest,Temperate North America
Limpkin,Aramus guarauna,9000,6000,12000,1993,1995,R,Wetland,Widespread Neotropical
Lincoln's Sparrow,Melospiza lincolnii,88078735,78262006,98782691,2006,2015,M,Boreal Forest,Temperate North America
Little Blue Heron,Egretta caerulea,270582,191382,368199,2006,2015,M,Wetland,Widespread
Loggerhead Shrike,Lanius ludovicianus,4557457,4080246,5094115,2006,2015,M,Grassland,Temperate North America
Long-billed Curlew,Numenius americanus,140000,98000,198000,2011,2013,M,Grassland,Widespread
Long-billed Dowitcher,Limnodromus scolopaceus,500000,333333,750000,2011,2013,M,Arctic Tundra,Widespread
Long-billed Thrasher,Toxostoma longirostre,95573,53639,153900,2006,2015,R,Aridlands,Mexico-Central America
Long-eared Owl,Asio otus,37707,15671,68758,2006,2015,M,Forest Generalist,Temperate North America
Long-tailed Duck,Clangula hyemalis,1000000,500000,1500000,2004,2006,M,Arctic Tundra,Marine
Louisiana Waterthrush,Parkesia motacilla,446545,377921,529134,2006,2015,M,Eastern Forest,Widespread Neotropical
Lucy's Warbler,Oreothlypis luciae,2829708,1620023,4473592,2006,2015,M,Aridlands,Mexico-Central America
MacGillivray's Warbler,Geothlypis tolmiei,11191876,9091713,13546236,2006,2015,M,Western Forest,Mexico-Central America
Magnolia Warbler,Setophaga magnolia,38757259,33706369,44351863,2006,2015,M,Boreal Forest,Mexico-Central America
Mallard,Anas platyrhynchos,11477600,10557400,12397900,2013,2017,M,Wetland,Widespread
Marbled Godwit,Limosa fedoa,174000,116000,261000,2011,2013,M,Wetland,Coastal
Marbled Murrelet,Brachyramphus marmoratus,545550,256600,834500,1994,1996,M,Coasts,Marine
Marsh Wren,Cistothorus palustris,10846904,8009975,14414465,2006,2015,M,Wetland,Temperate North America
McCown's Longspur,Rhynchophanes mccownii,844821,487327,1322335,2006,2015,M,Grassland,Southwestern Aridlands
Merlin,Falco columbarius,1620998,1325156,1975531,2006,2015,M,Habitat Generalist,Widespread
Mew Gull,Larus canus,1286450,659195,2419626,2006,2015,M,Wetland,Temperate North America
Mexican Jay,Aphelocoma wollweberi,142059,31219,355566,2006,2015,R,Western Forest,Mexico-Central America
Mississippi Kite,Ictinia mississippiensis,695177,537854,881937,2006,2015,M,Eastern Forest,South America
Monk Parakeet,Myiopsitta monachus,59268,1094,158202,2006,2015,Introduced,Introduced,Introduced
Mottled Duck,Anas fulvigula,238785,148277,355630,2006,2015,M,Wetland,Temperate North America
Mountain Bluebird,Sialia currucoides,5568751,4615920,6673385,2006,2015,M,Western Forest,Temperate North America
Mountain Chickadee,Poecile gambeli,7855197,6597745,9279875,2006,2015,R,Western Forest,Temperate North America
Mountain Plover,Charadrius montanus,20000,13333,30000,2011,2013,M,Grassland,Southwestern Aridlands
Mountain Quail,Oreortyx pictus,250825,174335,348548,2006,2015,R,Western Forest,Temperate North America
Mourning Dove,Zenaida macroura,133072464,123233806,143006188,2006,2015,M,Habitat Generalist,Widespread
Mourning Warbler,Geothlypis philadelphia,13827473,11375932,16818340,2006,2015,M,Boreal Forest,South America
Mute Swan,Cygnus olor,12000,9000,15000,1992,1994,Introduced,Introduced,Introduced
Nashville Warbler,Oreothlypis ruficapilla,39717135,34046329,46021851,2006,2015,M,Boreal Forest,Mexico-Central America
Nelson's Sparrow,Ammospiza nelsoni,1012433,860211,1182894,2006,2015,M,Wetland,Coastal
Northern Bobwhite,Colinus virginianus,5800000,2900000,8700000,2008,2010,R,Eastern Forest,Temperate North America
Northern Cardinal,Cardinalis cardinalis,118228958,107977674,129207132,2006,2015,R,Eastern Forest,Temperate North America
